"x"	"y"	"r"
1	7	0.353930254069363
3	2	0.312298480758369
5	6	0.515312433955274
5	9	0.421145236658883
9	16	0.371014512660441
1	19	0.710707190464597
5	15	0.522040853915691
9	34	0.369511413951932
4	44	0.378870418905249
8	74	0.714245434910624
5	73	0.544686487105104
7	72	0.266707343142501
3	77	0.22143686074308
1	84	0.598766161324529
5	98	0.890527689679734
4	95	0.238861798122882
7	96	0.374245735870741
8	91	0.66553263951995
6	93	0.674164966499857
3	92	0.753797882697005
14	9	0.19859919227186
12	48	0.452169951154544
15	54	0.387596556291251
17	77	0.63676272587548
19	78	0.580606093885559
15	87	0.453767597479056
28	4	0.835673937889666
22	15	1.03244211984467
26	23	0.168607361725731
22	27	0.451739778238644
25	39	0.434427160026676
22	43	0.624897587905015
26	42	0.385718846948464
21	47	0.951242903753273
25	41	0.660159009921248
28	46	0.307317244978225
28	69	0.316521700875484
24	71	0.56638651819276
26	92	0.276375482602577
35	6	0.222679225586928
39	19	0.527929699468613
33	22	0.301212368029965
39	25	0.522180287538968
31	23	0.528991375160121
36	92	0.406870179372062
43	4	1.11796940447724
47	7	0.28770812579267
46	8	0.108267600441033
46	21	0.426370536058158
42	31	0.248434744757878
41	35	0.416274622199285
45	31	0.436493048157277
49	56	1.35184220177902
46	54	0.187698314832395
51	16	0.992354379328531
59	24	0.50793006224843
54	26	0.422916825070853
52	63	0.118356604221616
57	86	0.296742226048802
59	88	0.163089521654378
63	9	0.414743126574593
61	14	0.960401789877278
68	14	0.25739082659127
63	14	0.471655134228221
67	13	0.298107383866639
65	16	0.826567125353555
63	17	0.221968302767491
67	34	1.25727052273628
64	49	0.616449331972897
62	59	0.700266492366963
66	65	0.690126622834905
66	61	0.466335082671663
66	68	0.323912105900836
69	65	0.80774950446722
63	77	0.516904087497293
75	4	0.806302490564314
78	26	0.438911919998826
77	36	0.501677134410913
73	32	0.158165621565033
76	57	0.418752070633401
77	56	0.173498837912784
74	71	0.367619498659878
84	8	0.447992372726736
81	8	0.933804360867349
85	19	0.278891069787425
82	47	0.791533736791899
81	52	0.259369495333549
87	69	0.265717742362677
86	68	0.544577651738179
84	73	1.01737902669119
89	92	0.477583813998218
93	19	0.765861994390881
98	24	0.569359474448156
95	37	0.598132480806675
93	59	0.23278369554011
93	58	0.478233570708277
92	58	0.297123062969282
92	77	0.425796814607738
98	84	0.718591425194569
91	81	0.284861458687221
